用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
****c,PLUS会员,"<div class=""comment-star star1""></div>",一般般也就那样不知道是不是正品,【热销爆款】水润保湿面膜10片,,,,,2020-03-17 21:26
****6,,"<div class=""comment-star star1""></div>",包装全坏了，面膜从盒里出来了,水润保湿面膜10片,2017-11-13 12:05,,,,
****d,,"<div class=""comment-star star1""></div>",只是会拿京豆忽悠人，要评价，然后呢？京豆呢？,【热销爆款】水润保湿面膜,,,,,2019-11-10 08:32
****b,PLUS会员,"<div class=""comment-star star1""></div>",就一个塑料袋包装，坏了,,,2017-09-01 22:26,水润保湿面膜10片,,
秀***晴,PLUS会员,"<div class=""comment-star star1""></div>",买回来就是拆开的，为什么？让我怎么还敢用.,,,2018-03-18 14:26,水润保湿面膜10片,,
u***3,,"<div class=""comment-star star1""></div>",才买一天就降价，不开心,水润保湿面膜10片,2018-03-09 23:04,,,,
周***日,,"<div class=""comment-star star1""></div>",是真的吗，包装这么简陋,,,2018-08-01 17:51,水润保湿面膜10片,,
****y,,"<div class=""comment-star star1""></div>",一般般，收到货，包装都坏了.感觉像退货.,,,,水润保湿面膜,2019-08-23 08:36,
u***a,,"<div class=""comment-star star1""></div>",搞什么啊，感觉不是正品,,,2018-09-17 13:41,水润保湿面膜10片,,
****d,,"<div class=""comment-star star1""></div>",假的，跟在韩国买的不一样,水润保湿面膜10片,2017-12-14 21:24,,,,
_***神,,"<div class=""comment-star star1""></div>",用到一半，发现，有一个漏袋，干了。,,,2017-06-13 09:16,水润保湿面膜10片,,
雄***A,,"<div class=""comment-star star1""></div>",刚买到手就降价，3月8日退的货，至今款未到账,水润保湿面膜10片,,,,,
****i,,"<div class=""comment-star star1""></div>",收到包装居然是打开的？,,,2018-05-08 14:20,水润保湿面膜10片,,
u***8,,"<div class=""comment-star star1""></div>",价格差不多吧，没啥优惠,【补水保湿】水润面膜,2020-11-13 15:32,,,,
大***漫,,"<div class=""comment-star star1""></div>",用完脸特别干，和韩国买的不一样。,水润保湿面膜10片,,,,,
****6,PLUS会员,"<div class=""comment-star star1""></div>",京东服务恶劣，远离京东,水润保湿面膜,,,,,2019-06-18 21:53
u***t,,"<div class=""comment-star star1""></div>",用完脸上起痘，怀疑是假的,【热销爆款】水润保湿面膜10片,,,,,2020-05-07 10:49
R***n,,"<div class=""comment-star star1""></div>",包装都拆开了还少了一片,水润保湿面膜10片,,,,,
****b,,"<div class=""comment-star star1""></div>",降价太快，东西是不是正品，都不敢确认了,水润保湿面膜10片,2016-08-27 19:45,,,,
****4,,"<div class=""comment-star star1""></div>",最后这次买的感觉有点假,水润保湿面膜10片,2018-01-02 00:27,,,,
****y,PLUS会员,"<div class=""comment-star star1""></div>",盒子都扁了变形了，面膜还没用。,水润保湿面膜,,,,,2018-11-17 10:14
****0,,"<div class=""comment-star star1""></div>",不买了，韩国货，与商家无关,水润保湿面膜10片,,,,,
****r,,"<div class=""comment-star star1""></div>",包装简陋，脏兮兮的感觉像好久的压箱底货了,水润保湿面膜,,,,,2019-03-07 11:40
****F,,"<div class=""comment-star star1""></div>",买了6盒，结果就给发了一盒,,,2020-06-18 21:12,【热销爆款】水润保湿面膜,,
****n,,"<div class=""comment-star star1""></div>",收到有打开，包装盒松散坏,,,2017-11-02 13:25,水润保湿面膜10片,,
卤***0,PLUS会员,"<div class=""comment-star star1""></div>",感觉像假的，和以前用的不太一样,水润保湿面膜10片,2017-06-04 22:17,,,,
****9,,"<div class=""comment-star star1""></div>",下次不会买了。效果不好。差,【热销爆款】水润保湿面膜10片,,,,,2019-12-19 23:29
w***3,PLUS会员,"<div class=""comment-star star1""></div>",没看清楚，是韩国货，还不能退货。,水润保湿面膜10片,2017-08-28 19:08,,,,
y***7,,"<div class=""comment-star star1""></div>",两个包装都破了，还拆过包。,,,2016-05-25 15:56,针剂水库补水保湿面膜25ml*10,,
****c,,"<div class=""comment-star star1""></div>",感觉一般，脸型不贴，太厚,,,,水润保湿面膜,2019-03-19 11:58,
H***Q,,"<div class=""comment-star star1""></div>",盒子被拆开过，感觉是假的,水润保湿面膜10片,2018-07-04 14:47,,,,
u***4,,"<div class=""comment-star star1""></div>",假的，和我在店里买的不一样,水润保湿面膜10片,2016-09-18 20:24,,,,
A***庆,PLUS会员,"<div class=""comment-star star1""></div>",和朋友韩国带的不一样。假货,水润保湿面膜10片,2016-11-14 21:28,,,,
y***1,PLUS会员,"<div class=""comment-star star1""></div>",货收到了，外包装都破损了,,,2018-09-10 20:39,水润保湿面膜10片,,
