用户名,会员,星级,评论,类型1,类型2,评论时间1,评论时间2,采集时间,评论时间3
天***8,PLUS会员,"<div class=""comment-star star5""></div>",替别人买的，产品很好，方便使用，赖人考虑一下。,,新品【免洗睡眠面膜】16支装,,2021-07-08 07:12,2022-04-24 14:31:34.354,
1***9,PLUS会员,"<div class=""comment-star star5""></div>",V型不行不错吧超级差不包吃吃鸡纯牛奶,,,,,2022-04-24 14:31:34.395,
S***g,,"<div class=""comment-star star5""></div>",捡来的京东卡买的，相当于没花钱,,,,,2022-04-24 14:31:34.445,
****叶,PLUS会员,"<div class=""comment-star star5""></div>",喜欢他家的睡眠面膜，还不错，喜欢,,,,,2022-04-24 14:31:34.492,
c***4,PLUS会员,"<div class=""comment-star star5""></div>",每次一到活动就会囤好多的面膜，大爱,,,,,2022-04-24 14:31:34.548,
艳***u,PLUS会员,"<div class=""comment-star star5""></div>",双十一有活动买的，又屯了好多。,,涂抹免洗睡眠面膜,,2021-11-15 14:24,2022-04-24 14:31:34.601,
****k,PLUS会员,"<div class=""comment-star star5""></div>",保湿效果非常不错、值得回购,,,,,2022-04-24 14:31:34.906,
u***a,,"<div class=""comment-star star5""></div>",给妈妈买的效果应该还可以,,,,,2022-04-24 14:31:34.946,
旗***0,PLUS会员,"<div class=""comment-star star5""></div>",想找个这样免洗的，省去了麻烦,,新品【免洗睡眠面膜】16支装,,2021-07-30 10:39,2022-04-24 14:31:34.988,
r***f,PLUS会员,"<div class=""comment-star star4""></div>",宣传和实物还是有一定差距的,,,,,2022-04-24 14:31:35.029,
****a,PLUS会员,"<div class=""comment-star star5""></div>",这款产品很不错，值得拥有！,,,,,2022-04-24 14:31:35.071,
左***w,PLUS会员,"<div class=""comment-star star5""></div>",非常好非常棒！特别好特别棒！,,新品【免洗睡眠面膜】16支装,,2021-08-13 20:43,2022-04-24 14:31:35.115,
****u,,"<div class=""comment-star star5""></div>",可以的下次再买点，还剩两只,,,,,2022-04-24 14:31:35.162,
h***h,PLUS会员,"<div class=""comment-star star5""></div>",喜欢的不要不要的，值得,,,,,2022-04-24 14:31:35.205,
阿***我,PLUS会员,"<div class=""comment-star star5""></div>",好东西以后还会持续购买,,,,,2022-04-24 14:31:35.246,
****e,PLUS会员,"<div class=""comment-star star5""></div>",东西很不错，可以放心购买，………………………,,,,,2022-04-24 14:31:35.295,
****r,PLUS会员,"<div class=""comment-star star5""></div>",效果不错一直在回购的,,,,,2022-04-24 14:31:35.590,
****c,PLUS会员,"<div class=""comment-star star5""></div>",还会回购的，活动力度也大,,,,,2022-04-24 14:31:35.639,
p***e,PLUS会员,"<div class=""comment-star star5""></div>",该用户觉得商品不错,,,,,2022-04-24 14:31:35.687,
胡***坤,PLUS会员,"<div class=""comment-star star5""></div>",用了两片感觉还可以,,,,,2022-04-24 14:31:35.740,
z***q,,"<div class=""comment-star star5""></div>",该用户觉得商品不错,,,,,2022-04-24 14:31:35.786,
****8,,"<div class=""comment-star star5""></div>",该用户觉得商品不错,,,,,2022-04-24 14:31:35.838,
柒***云,PLUS会员,"<div class=""comment-star star5""></div>",京东大品牌值得信赖,,,,,2022-04-24 14:31:35.884,
n***_,,"<div class=""comment-star star5""></div>",该用户觉得商品不错,,,,,2022-04-24 14:31:35.928,
1***5,PLUS会员,"<div class=""comment-star star5""></div>",用起来方便，还可以,,,,,2022-04-24 14:31:35.975,
繁***6,PLUS会员,"<div class=""comment-star star5""></div>",相当不错蛮好的，值得,,,,,2022-04-24 14:31:36.028,
****z,,"<div class=""comment-star star5""></div>",页面信息与实际不符,,,,,2022-04-24 14:31:36.315,
****z,,"<div class=""comment-star star5""></div>",页面信息与实际不符,,,,,2022-04-24 14:31:36.370,
Z***阳,,"<div class=""comment-star star5""></div>",东西还不错，总体挺满意！,,,,,2022-04-24 14:31:36.409,
刘***X,PLUS会员,"<div class=""comment-star star5""></div>",第二次购买，还可以,,,,,2022-04-24 14:31:36.447,
假***女,PLUS会员,"<div class=""comment-star star5""></div>",巨补水，一模成水珠,,,,,2022-04-24 14:31:36.487,
****a,,"<div class=""comment-star star5""></div>",效果很好不卡妆了，,,,,,2022-04-24 14:31:36.527,
****f,,"<div class=""comment-star star5""></div>",宝贝挺好的很水润,,,,,2022-04-24 14:31:36.571,
猪***酷,PLUS会员,"<div class=""comment-star star5""></div>",东西特别好特别好，zsbd,,,,,2022-04-24 14:31:36.610,
明***眼,,"<div class=""comment-star star5""></div>",挺好的，还行，挺好的,,涂抹免洗睡眠面膜,,2021-10-21 14:03,2022-04-24 14:31:36.657,
u***4,PLUS会员,"<div class=""comment-star star5""></div>",一条一条的，方便携带！,,新品【免洗睡眠面膜】16支装,,2021-06-19 23:17,2022-04-24 14:31:36.711,
****N,,"<div class=""comment-star star5""></div>",挺好的，就是量太少,,,,,2022-04-24 14:31:37.007,
搞***哒,PLUS会员,"<div class=""comment-star star5""></div>",特别喜欢，喜欢京东,,,,,2022-04-24 14:31:37.051,
u***j,PLUS会员,"<div class=""comment-star star5""></div>",喜欢，无刺激又好用,,,,,2022-04-24 14:31:37.097,
富***爱,PLUS会员,"<div class=""comment-star star4""></div>",还不错，挺好用的。,,,,,2022-04-24 14:31:37.144,
海***精,PLUS会员,"<div class=""comment-star star5""></div>",新品一定要试试,,,,,2022-04-24 14:31:37.190,
y***z,PLUS会员,"<div class=""comment-star star5""></div>",免洗还真是方便,,,,,2022-04-24 14:31:37.235,
****e,,"<div class=""comment-star star5""></div>",不知道使用的结果,,,,,2022-04-24 14:31:37.282,
那***美,PLUS会员,"<div class=""comment-star star5""></div>",这个面膜挺好用的,,,,,2022-04-24 14:31:37.335,
K***y,,"<div class=""comment-star star5""></div>",可以的，很喜欢呢,,,,,2022-04-24 14:31:37.386,
y***5,PLUS会员,"<div class=""comment-star star5""></div>",东西不错，值得够买,,,,,2022-04-24 14:31:37.439,
****c,,"<div class=""comment-star star5""></div>",特别好超级推荐。。。。。,,,,,2022-04-24 14:31:37.736,
****y,,"<div class=""comment-star star5""></div>",多次回购好用,,,,,2022-04-24 14:31:37.788,
卡***0,PLUS会员,"<div class=""comment-star star5""></div>",一直在用，很不错,,,,,2022-04-24 14:31:37.827,
每***天,,"<div class=""comment-star star5""></div>",面膜山的一小角～～,,涂抹免洗睡眠面膜,,2021-11-24 13:46,2022-04-24 14:31:37.860,
****x,PLUS会员,"<div class=""comment-star star5""></div>",水润保湿，好用,,,,,2022-04-24 14:31:37.905,
****1,,"<div class=""comment-star star5""></div>",超级缩水，嫩嫩的。,,,,,2022-04-24 14:31:37.961,
****1,PLUS会员,"<div class=""comment-star star5""></div>",不错，老婆很喜欢,,,,,2022-04-24 14:31:37.999,
暖***万,,"<div class=""comment-star star5""></div>",感觉好用，一直用,,,,,2022-04-24 14:31:38.039,
青***4,PLUS会员,"<div class=""comment-star star5""></div>",好像效果一般般。。。,,,,,2022-04-24 14:31:38.083,
赤***赤,,"<div class=""comment-star star5""></div>",不错，二次回购了,,,,,2022-04-24 14:31:38.132,
l***y,,"<div class=""comment-star star5""></div>",使用感受：很保湿,,,,,2022-04-24 14:31:38.425,
h***8,,"<div class=""comment-star star5""></div>",第二天就到了。,,,,,2022-04-24 14:31:38.474,
苍***神,PLUS会员,"<div class=""comment-star star5""></div>",好?(???)?，很好，非常好?(???)?！！！,,,,,2022-04-24 14:31:38.524,
l***j,PLUS会员,"<div class=""comment-star star5""></div>",很划算，很好用。,,,,,2022-04-24 14:31:38.569,
阳***y,PLUS会员,"<div class=""comment-star star5""></div>",一次一管，很方便,,,,,2022-04-24 14:31:38.616,
****b,PLUS会员,"<div class=""comment-star star5""></div>",比较方便，好用,,,,,2022-04-24 14:31:38.661,
****y,,"<div class=""comment-star star5""></div>",水润润舒服,,,,,2022-04-24 14:31:38.710,
****w,,"<div class=""comment-star star5""></div>",晚上用试试,,,,,2022-04-24 14:31:38.758,
****2,PLUS会员,"<div class=""comment-star star5""></div>",补水效果不错,,,,,2022-04-24 14:31:38.806,
****0,,"<div class=""comment-star star5""></div>",没有密封么？,,涂抹免洗睡眠面膜,,2022-01-27 14:14,2022-04-24 14:31:38.863,
y***z,PLUS会员,"<div class=""comment-star star5""></div>",够用很久了。,,,,,2022-04-24 14:31:39.157,
****w,PLUS会员,"<div class=""comment-star star5""></div>",好每天都用,,,,,2022-04-24 14:31:39.197,
江***G,,"<div class=""comment-star star5""></div>",感觉不保湿,,,,,2022-04-24 14:31:39.239,
****c,,"<div class=""comment-star star5""></div>",口罩还可以,,涂抹免洗睡眠面膜,,2021-11-08 14:11,2022-04-24 14:31:39.278,
****1,PLUS会员,"<div class=""comment-star star5""></div>",不贵，挺好用！,,,,,2022-04-24 14:31:39.317,
****3,,"<div class=""comment-star star4""></div>",用了不干,,,,,2022-04-24 14:31:39.357,
各***员,PLUS会员,"<div class=""comment-star star5""></div>",一直都在用,,,,,2022-04-24 14:31:39.398,
微***9,PLUS会员,"<div class=""comment-star star5""></div>",老顾客回购,,,,,2022-04-24 14:31:39.448,
7***梅,,"<div class=""comment-star star5""></div>",挺好用的,,,,,2022-04-24 14:31:39.493,
****g,,"<div class=""comment-star star4""></div>",快递真敬业！,,,,,2022-04-24 14:31:39.540,
S***g,,"<div class=""comment-star star5""></div>",货真价实,,,,,2022-04-24 14:31:39.840,
****2,PLUS会员,"<div class=""comment-star star5""></div>",挺好的，方便,,,,,2022-04-24 14:31:39.887,
2***庞,PLUS会员,"<div class=""comment-star star5""></div>",特别水，方便,,,,,2022-04-24 14:31:39.933,
夏***兜,,"<div class=""comment-star star5""></div>",囤货囤货,,,,,2022-04-24 14:31:39.980,
芦***杰,PLUS会员,"<div class=""comment-star star5""></div>",挺好用的,,,,,2022-04-24 14:31:40.028,
s***草,PLUS会员,"<div class=""comment-star star5""></div>",挺好的，good，喜欢,,,,,2022-04-24 14:31:40.076,
钱***美,PLUS会员,"<div class=""comment-star star5""></div>",非常满意,,,,,2022-04-24 14:31:40.122,
罗***2,PLUS会员,"<div class=""comment-star star5""></div>",挺不错的,,,,,2022-04-24 14:31:40.170,
1***y,,"<div class=""comment-star star5""></div>",补水还不错,,,,,2022-04-24 14:31:40.214,
g***f,PLUS会员,"<div class=""comment-star star5""></div>",价格优惠。,,,,,2022-04-24 14:31:40.275,
u***g,PLUS会员,"<div class=""comment-star star5""></div>",喜欢京东,,,,,2022-04-24 14:31:40.570,
其***4,,"<div class=""comment-star star5""></div>",很好用,,,,,2022-04-24 14:31:40.611,
W***o,,"<div class=""comment-star star5""></div>",效果还好,,,,,2022-04-24 14:31:40.658,
u***7,PLUS会员,"<div class=""comment-star star5""></div>",好好好,,,,,2022-04-24 14:31:40.694,
其***4,,"<div class=""comment-star star5""></div>",特好用,,,,,2022-04-24 14:31:40.727,
****空,PLUS会员,"<div class=""comment-star star5""></div>",还可以,,,,,2022-04-24 14:31:40.771,
打***班,,"<div class=""comment-star star5""></div>",挺好的,,,,,2022-04-24 14:31:40.809,
换***机,PLUS会员,"<div class=""comment-star star5""></div>",好用，很润,,,,,2022-04-24 14:31:40.853,
****5,,"<div class=""comment-star star5""></div>",不错的,,,,,2022-04-24 14:31:40.897,
滚***2,PLUS会员,"<div class=""comment-star star5""></div>",非常满意,,,,,2022-04-24 14:31:40.947,
****I,,"<div class=""comment-star star5""></div>",还没用,,,,,2022-04-24 14:31:41.252,
u***a,PLUS会员,"<div class=""comment-star star5""></div>",用着看看,,,,,2022-04-24 14:31:41.296,
南***货,PLUS会员,"<div class=""comment-star star5""></div>",很好用,,,,,2022-04-24 14:31:41.342,
g***U,PLUS会员,"<div class=""comment-star star5""></div>",好评。,,,,,2022-04-24 14:31:41.389,
L***生,PLUS会员,"<div class=""comment-star star5""></div>",可以购买,,,,,2022-04-24 14:31:41.435,
1***光,,"<div class=""comment-star star5""></div>",一般般,,,,,2022-04-24 14:31:41.479,
念***9,,"<div class=""comment-star star5""></div>",很满意,,,,,2022-04-24 14:31:41.533,
u***8,,"<div class=""comment-star star5""></div>",很好用,,,,,2022-04-24 14:31:41.575,
蓝***肉,,"<div class=""comment-star star5""></div>",是正品,,,,,2022-04-24 14:31:41.626,
u***9,,"<div class=""comment-star star5""></div>",很不错,,,,,2022-04-24 14:31:41.679,
c***0,PLUS会员,"<div class=""comment-star star5""></div>",不错,,,,,2022-04-24 14:31:41.987,
****o,PLUS会员,"<div class=""comment-star star5""></div>",还不错,,,,,2022-04-24 14:31:42.029,
妮***芯,,"<div class=""comment-star star5""></div>",好用,,,,,2022-04-24 14:31:42.065,
小***1,PLUS会员,"<div class=""comment-star star5""></div>",很好,,,,,2022-04-24 14:31:42.105,
霸***你,,"<div class=""comment-star star5""></div>",还可以,,,,,2022-04-24 14:31:42.143,
向***r,,"<div class=""comment-star star5""></div>",好用,,,,,2022-04-24 14:31:42.185,
龙***华,PLUS会员,"<div class=""comment-star star5""></div>",还可以。,,,,,2022-04-24 14:31:42.230,
财***佑,PLUS会员,"<div class=""comment-star star5""></div>",满意,,,,,2022-04-24 14:31:42.274,
****d,PLUS会员,"<div class=""comment-star star5""></div>",很好,,,,,2022-04-24 14:31:42.317,
j***4,PLUS会员,"<div class=""comment-star star5""></div>",买了三件有活动以前用过~没货就看见京东有就囤着,,,,,2022-04-24 14:31:42.365,
与***离,,"<div class=""comment-star star5""></div>",特别好,,,,,2022-04-24 14:31:42.654,
****K,,"<div class=""comment-star star5""></div>",挺好,,,,,2022-04-24 14:31:42.699,
****m,PLUS会员,"<div class=""comment-star star5""></div>",好评,,,,,2022-04-24 14:31:42.742,
****r,,"<div class=""comment-star star5""></div>",好用,,,,,2022-04-24 14:31:42.802,
t***5,PLUS会员,"<div class=""comment-star star5""></div>",好,,,,,2022-04-24 14:31:42.846,
彭***下,,"<div class=""comment-star star5""></div>",还行,,,,,2022-04-24 14:31:42.892,
遇***档,,"<div class=""comment-star star5""></div>",还好,,,,,2022-04-24 14:31:42.938,
****5,PLUS会员,"<div class=""comment-star star5""></div>",不错,,,,,2022-04-24 14:31:42.986,
1***p,,"<div class=""comment-star star5""></div>",还好,,,,,2022-04-24 14:31:43.029,
赵***6,PLUS会员,"<div class=""comment-star star5""></div>",好用,,,,,2022-04-24 14:31:43.087,
释***宝,PLUS会员,"<div class=""comment-star star5""></div>",好评,,,,,2022-04-24 14:31:43.389,
****a,PLUS会员,"<div class=""comment-star star5""></div>",不错,,,,,2022-04-24 14:31:43.435,
****s,,"<div class=""comment-star star5""></div>",挺好,,,,,2022-04-24 14:31:43.474,
M***-,PLUS会员,"<div class=""comment-star star5""></div>",好,,,,,2022-04-24 14:31:43.514,
P***M,,"<div class=""comment-star star5""></div>",奈斯,,,,,2022-04-24 14:31:43.551,
x***3,PLUS会员,"<div class=""comment-star star5""></div>",喜欢,,,,,2022-04-24 14:31:43.613,
****a,PLUS会员,"<div class=""comment-star star5""></div>",好,,,,,2022-04-24 14:31:43.654,
****2,PLUS会员,"<div class=""comment-star star5""></div>",好,,,,,2022-04-24 14:31:43.692,
井***十,,"<div class=""comment-star star5""></div>",好,,,,,2022-04-24 14:31:43.735,
****i,,"<div class=""comment-star star5""></div>",快,,,,,2022-04-24 14:31:43.795,
****7,,"<div class=""comment-star star5""></div>",好,,,,,2022-04-24 14:31:44.086,
a***3,PLUS会员,"<div class=""comment-star star5""></div>",好,,,,,2022-04-24 14:31:44.135,
x***u,PLUS会员,"<div class=""comment-star star5""></div>","美迪惠尔(Mediheal)水润保湿免洗睡眠面膜4ml*16支,这款面膜之前有用过，用过好几个类型的，黄色的，绿色的，还是觉得蓝色这款最好用，补水很好的，而且做活动有优惠，价格合适，性价比很高呢，这次老公买了四盒，能用一段时间了，赞!",,新品【免洗睡眠面膜】16支装,,2021-07-03 14:38,2022-04-24 14:31:44.178,
公***9,PLUS会员,"<div class=""comment-star star5""></div>",好,,,,,2022-04-24 14:31:44.228,
****r,PLUS会员,"<div class=""comment-star star5""></div>",好,,,,,2022-04-24 14:31:44.278,
炮***岸,PLUS会员,"<div class=""comment-star star5""></div>",物超所值，商品设计完美，外观也很高大上，让人爱不释手。客服更是热情的没话说，这次购物很满意比平时要便宜，囤了不少，特别特别满意?，超级好看?，客服很有礼貌，很客气，良心商家，支持！宝贝收到了，和描述一样，很喜欢,,新品【免洗睡眠面膜】16支装,,2021-08-19 09:26,2022-04-24 14:31:44.327,
W***2,PLUS会员,"<div class=""comment-star star5""></div>",东西非常不错，很多朋友推荐。可以买。,,,,,2022-04-24 14:31:44.376,
左***w,PLUS会员,"<div class=""comment-star star5""></div>",非常好非常棒，特别好特别棒！,,,,,2022-04-24 14:31:44.427,
缱***初,,"<div class=""comment-star star5""></div>",喜欢在京东买东西，物流快，质量有保障，而且做活动的时候也很划算。这是回购过好多次的护肤品了，性价比高，也很好用，满意满意！,,涂抹免洗睡眠面膜,,2021-11-16 12:43,2022-04-24 14:31:44.479,
劉***哥,PLUS会员,"<div class=""comment-star star5""></div>",好好好好，非常不错的！,,,,,2022-04-24 14:31:44.533,
小***哦,PLUS会员,"<div class=""comment-star star5""></div>",好用给同事推荐了,,,,,2022-04-24 14:31:44.838,
雷***4,PLUS会员,"<div class=""comment-star star5""></div>",还不错，容易吸收,,,,,2022-04-24 14:31:44.883,
k***6,,"<div class=""comment-star star5""></div>",真的很好用，对商品非常满意，属于无限回购款，推荐！物流超级超级快！质量也非常不错，的确物有所值,,涂抹免洗睡眠面膜,,2021-10-23 18:53,2022-04-24 14:31:44.919,
4***m,PLUS会员,"<div class=""comment-star star5""></div>",第二次购买了。就是喜欢这样的小巧玲珑，又好用，还是会一直支持，没毛病实际体验才来评价，官方标配就是好，不解释，好看又好用，方便省心,,新品【免洗睡眠面膜】16支装,,2021-07-20 07:13,2022-04-24 14:31:44.959,
D***L,,"<div class=""comment-star star5""></div>",感觉应该不错,,,,,2022-04-24 14:31:45.007,
淡***红,,"<div class=""comment-star star5""></div>",一如即往的好,,,,,2022-04-24 14:31:45.043,
我***光,,"<div class=""comment-star star5""></div>",补水还行的,,,,,2022-04-24 14:31:45.086,
小***l,PLUS会员,"<div class=""comment-star star5""></div>",第二次买了，京东购物一直挺放心，前一次买了几箱，给朋友家人分发点，快没有了，都说用着挺好的，就又买了几套。这次买的这个种类，还没有用，不过相信品牌的力量会继续回购,,涂抹免洗睡眠面膜,,2022-02-27 21:08,2022-04-24 14:31:45.122,
****隶,PLUS会员,"<div class=""comment-star star5""></div>",效果不错?,,,,,2022-04-24 14:31:45.166,
乖***全,PLUS会员,"<div class=""comment-star star5""></div>",补水很好,,,,,2022-04-24 14:31:45.216,
麻***面,,"<div class=""comment-star star5""></div>",快递很快,,,,,2022-04-24 14:31:45.502,
L***Y,PLUS会员,"<div class=""comment-star star5""></div>",很好啊,,,,,2022-04-24 14:31:45.545,
温***美,,"<div class=""comment-star star5""></div>",很不错,,,,,2022-04-24 14:31:45.595,
李***8,PLUS会员,"<div class=""comment-star star5""></div>",喜欢用,,,,,2022-04-24 14:31:45.647,
w***u,,"<div class=""comment-star star5""></div>",很好用,,,,,2022-04-24 14:31:45.694,
d***7,PLUS会员,"<div class=""comment-star star5""></div>",保湿效果：非常好吸收程度：非常好清洁效果：非常好其他特色：非常好。第二天早上起床，面膜补水效果还有。非常不错。价廉物美。值得拥有。,,涂抹免洗睡眠面膜,,2021-12-12 19:29,2022-04-24 14:31:45.744,
2***m,PLUS会员,"<div class=""comment-star star5""></div>",品质很不错?，性价比比较高的的商品?，喜欢的亲可以直接下手不要犹豫哦?外观干净漂亮，做工很不错，没发现什么瑕疵，个人感觉大小也挺合适，找了很久选的这款，大爱！,,涂抹免洗睡眠面膜,,2021-11-29 09:45,2022-04-24 14:31:45.792,
****f,,"<div class=""comment-star star5""></div>",不错,,,,,2022-04-24 14:31:45.843,
J***8,PLUS会员,"<div class=""comment-star star5""></div>",还行,,,,,2022-04-24 14:31:45.889,
****7,,"<div class=""comment-star star5""></div>",假货,,,,,2022-04-24 14:31:45.937,
****p,PLUS会员,"<div class=""comment-star star5""></div>",还行,,,,,2022-04-24 14:31:46.227,
****f,PLUS会员,"<div class=""comment-star star5""></div>",舒服,,,,,2022-04-24 14:31:46.273,
圆***技,PLUS会员,"<div class=""comment-star star5""></div>",很好,,,,,2022-04-24 14:31:46.317,
外***醬,PLUS会员,"<div class=""comment-star star5""></div>",好,,,,,2022-04-24 14:31:46.353,
楠***2,PLUS会员,"<div class=""comment-star star5""></div>",好,,,,,2022-04-24 14:31:46.390,
****t,PLUS会员,"<div class=""comment-star star5""></div>",好,,,,,2022-04-24 14:31:46.435,
c***9,PLUS会员,"<div class=""comment-star star5""></div>",非常感谢京东商城给予的优质服务，从仓储管理、物流配送等方面都做的非常好。送货及时，配送员也非常热情，有时候不方便收货的时候，也安排时间另行配送。同时在售后管理上也非常好，以解客户忧患，排除万难，给予我们优质的购物体验。,,,,,2022-04-24 14:31:46.472,
L***2,PLUS会员,"<div class=""comment-star star5""></div>",宝贝心仪很久了，趁活动时候买真的太划算了，喜欢的不要犹豫啊刚好做活动，价格便宜了很多，性价比超高，真的特别划算，补水效果超级赞,,涂抹免洗睡眠面膜,,2022-02-13 16:25,2022-04-24 14:31:46.518,
h***g,PLUS会员,"<div class=""comment-star star5""></div>",产品包装精致美观大气，目前用着非常不错，真实评价，希望可以帮到集美们超出预期，质量很好，做工精细，满意超出预期，质量很好，做工精细，满意,,,,,2022-04-24 14:31:46.566,
****o,PLUS会员,"<div class=""comment-star star5""></div>",刚好做活动，价格便宜了很多，性价比超高，真的特别划算每一次都很满意，这次选的宝贝更加满意，以后还会一如既往地买下去质量很过关，品质有保障，相当不错的选择，好多朋友看我用都想买，我都推荐了,,新品【免洗睡眠面膜】16支装,,2021-07-03 22:17,2022-04-24 14:31:46.611,
****p,PLUS会员,"<div class=""comment-star star5""></div>",包装很完美，颜值很高，感觉物超所值！客服也非常耐心细致，发货快物流给力，以后还会再来??买过很多次了，很好，很好用，价格也不贵,,便携装-补水保湿睡眠面膜16条,,2022-04-20 22:05,2022-04-24 14:31:47.304,
z***0,,"<div class=""comment-star star5""></div>",物流超级超级快！质量也非常不错，的确物有所值宝贝收到，一如既往的好，包装很到位，质量还不错，很喜欢，大品牌值得信赖宝贝和介绍的一样，质感很好，功能强大，用了感觉不错,,,,,2022-04-24 14:31:47.348,
****l,PLUS会员,"<div class=""comment-star star5""></div>",一直很喜欢这个牌子的面膜，以前都是在~和实体店买，这次在京东上面购买价格很划算，这款涂抹式的，用起来很滋润，小小一条可以涂满整个脸，而且方便携带。,,涂抹免洗睡眠面膜,,2021-10-21 16:44,2022-04-24 14:31:47.388,
一***悔,,"<div class=""comment-star star5""></div>",买了很多东西都非常满意很好的卖家我会常来的~卡可以升到顶级了吧不错面料很薄春夏交替季节穿合适。款式也很好，卖家描述的图片和实物基本上没有什么差异。物流公司的态度比较想象中要快太多，早上下单没想到第二天下午就收到快递小哥哥的电话了、以后还需继续关注！店长人还不错！好评好评！,,,,,2022-04-24 14:31:47.433,
